ID Receta,Titulo,Calorias,Carbohidratos,Proteinas,Grasas
Cdd6uX6fxnchC7gmerft,Mocktail de Pepino y Albahaca,5,2,0,0
eZwvyunb89iOTIcY4RH1,"Agua con Gas, Fresa y Menta",5,2,0,0
VyTDmw1ITh1v5eNCEt9D,Lechuga Romana,8,1,0,0
03duuZrboNXwfRC0MBD6,Dip de Yogur con Espinaca,15,1,2,0
4owcXBQ1af4u50Wyz3o6,Salsa Casi Suave,15,1,0,1
RNlYga9fV9KxgEjFKoux,Crema de Pesto de Albahaca,15,1,2,0
VUchTzv4yzzbNtNkHR7D,Salsa de Piña Asada,15,3,0,0
f2lNd3DvZV7Wqc5nxG2o,Ensalada de Pepino y Cebolla,15,3,0,0
pJMfeqSsQSBng2xiJ7Co,Pepinillos sin Azúcar y Bajos en Sodio,15,4,0,0
zMs8P8zUI1rJvdZIFQZi,Salsa BBQ Endulzada con Frutas,15,4,0,0
Vnx2k7Zn1ffOjxPPffmm,Tomates con Albahaca,18,4,1,0
6u1PV1gwGG283i71JhVo,Coles de Bruselas en Escabeche,20,4,1,0
HBjq21SzTmnwWIk3O9wN,Ensalada de Zanahoria y Repollo,20,4,0,0
QJx7Yw0FMyE1Arxi13Cl,Coulis de Pimiento Rojo Asado,20,4,1,0
yBEQK32vDpNCQ3XqjFtT,"Fresas con Glaseado de Balsámico, Pimienta Negra y Estragón",20,5,0,0
6sXjVjYRPelAVVFWGMze,Tomates Cherry Rellenos de Guacamole,25,2,1,2
9BMBRLM0r4URdoKmEEU7,Aderezo de Ensalada de Aguacate y Lima,25,2,1,2
LqDD6KTrLwB5DGec1ss8,Brochetas Caprese,25,1,1,2
uI6nWIxaOXqwRGN99QUb,Granizado de Sandía y Lima,25,7,1,0
vMv2vPWsyRL5T2rXOsQh,Salsa de Frijoles Negros y Durazno,25,4,1,0
uW1evyQh5BPLj5AhKT6n,"Brócoli, Congelado y Cocido",26,5,3,0
6DdFsZXKJdXX27h2WGY2,Champiñones Portobello y Cebollas con Glaseado de Balsámico,30,5,1,0
TMG7iIh3KxFPYUp7WcvM,Salsa de Frutas del Bosque,30,5,0,1
YswIe9dEKk3UPHuRbysL,Rábanos Asados,30,3,0,2
aKerNxBZ4NEUH9OGCR8K,Coliflor Asada Simple,30,2,1,2
g8Y7bBbYOQxj3ruz13Rp,Aderezo de Yogur y Mostaza,30,1,1,3
myAyOX10s4EUBM4wb8RY,Crujiente de Pepino Picante,30,5,1,1
834RgWPTVDW8BJQFB4jL,Guisantes Dulces con Limón y Menta,35,4,1,1
YSwvJDW556SZNZhnZPb1,Salsa de Arándanos,35,7,0,1
kpqy06muDMqUwuObNsVk,Espárragos Asados con Parmesano,35,5,3,1
nhECSHHJ8LNOAzmL5Eiw,"Dip de Cebolla, Espinaca y Alcachofa",35,3,1,2
pCSnWTC540ZyBBsczBib,Judías Verdes de Acción de Gracias con Arándanos y Avellanas,35,4,1,2
rd06NHJASIQq3pD97fap,Judías Verdes con Arándanos y Avellanas,35,4,1,2
xXVOxr0nG6aLNLY7cCbR,Dip de Frijoles con Hierbas,35,7,2,0
B4p9zAZJXLkrSia9StM4,"Dip de Remolacha Asada, Tahini y Yogur Griego",40,2,1,3
K7oyBc9xBZdvo08R0uBj,Sorbete de Piña y Durazno,40,10,1,0
TcN5AQqRSVS44lsmXnrw,"Dip de Cebolla Dulce, Frijoles Blancos y Alcachofa",40,5,2,1
dvztVerzrcUTkhsQNChs,Calabacín Mediterráneo,40,3,2,3
g34kIBlWU71hviFTTULn,Salsa de Mango y Tomate,40,8,1,1
gGchoEYFslKVm7NcBAhj,Bastones de Apio con Hummus y Pimiento Rojo,40,4,2,2
h84OhVfttwxgEjnfJZQB,Ensalada de Salsa Italiana,40,4,1,2
hzeH92PTHI5yTWhELqp1,Tartitas Mini de Calabaza,40,4,1,2
iCofkPTA8CmBz9uE1zeM,Hummus de Remolacha Asada al Curry,40,4,1,2
mA9iybtYIFx9HxLTCOMZ,Cestas de Batata con Huevos,40,6,4,0
mNmX4ShKSi4NM0weuG1m,Coles de Bruselas Asadas con Sriracha Dulce,40,7,2,2
nK0R0RQQBVUg1qzk3pfg,Repollo Guisado con Manzanas,40,7,1,1
reZJTKSigGpsudLCQmwm,Sopa Fría de Estragón y Tomate,40,9,2,0
vlGPBdgCjAlK9YEjJGlS,Ensalada de Acompañamiento Simple con Vinagreta de Balsámico,40,6,2,1
B44utUPbfzBUDS5NpDQn,Dip de Taco Saludable,45,4,3,2
EJy80yKx0Ktbkh4lbk8f,Guacamole de Pepino,45,4,1,3
Szyipn1FQQ9YijYb9PY1,Ensalada de Espárragos Asados,45,3,2,3
bRzv1jxabAN3G9VZAl6x,Calabacín a la Parrilla con Queso Feta,45,3,2,3
0RikxtxtdQowJ3KmzwH2,Chowder de Calabaza con Pepitas Tostadas,50,12,2,0
0VOG7YtI228EibdHhP7X,Pasteles Salados de Coliflor y Queso,50,3,6,2
6XKJwju4seOa7F8jp22v,Hummus de Lentejas Rojas,50,5,2,3
8ibWwRty5k13Y08TwwQZ,Berenjena con Relish de Pimiento Rojo Asado,50,7,1,3
AgFV5g2jF5bTRrHTFGtl,Ensalada Caprese del Jardín,50,4,2,3
Azu8fC3jV3baS94HkQfQ,Tomates Chispeados al Estilo Italiano,50,5,1,3
COykTLnJEsxZaIpcAuSX,Tomates con Estragón,50,8,2,2
CWntB2AnvFugPX68PHqX,Chips de Manzana al Horno,50,13,0,0
HDV67SriQE8OLIMKfhkV,Palitos de Pan de Coliflor Bajos en Carbohidratos,50,4,5,2
HkfsBWYa2R9d66VbAUOY,"Espárragos, Pimientos y Champiñones Salteados",50,5,2,3
KYrp29fdRK3U11l2135k,Ensalada de Repollo,50,4,0,3
LEyNCOT9OVhteK1ochGb,Bocaditos de Huevo con Espinaca y Parmesano,50,3,6,1
