ID Receta,Titulo,Calorias,Carbohidratos,Proteinas,Grasas
Cdd6uX6fxnchC7gmerft,Mocktail de Pepino y Albahaca,5,2,0,0
NMVC5c0e3RgaXo8p6qLg,Agua de Pepino y Limón,5,1,0,0
aEvNkjyplVSIPYKQGIeh,Agua de Sandía y Romero,5,1,0,0
eZwvyunb89iOTIcY4RH1,"Agua con Gas, Fresa y Menta",5,2,0,0
D5ezwv1RpCMui31jhLLV,Soda Italiana de Crema de Naranja,10,2,0,0
dwstYDM5xFx8qy7tejOO,Agua de Piña y Menta,10,2,0,0
03duuZrboNXwfRC0MBD6,Dip de Yogur con Espinaca,15,1,2,0
4owcXBQ1af4u50Wyz3o6,Salsa Casi Suave,15,1,0,1
RNlYga9fV9KxgEjFKoux,Crema de Pesto de Albahaca,15,1,2,0
VUchTzv4yzzbNtNkHR7D,Salsa de Piña Asada,15,3,0,0
pJMfeqSsQSBng2xiJ7Co,Pepinillos sin Azúcar y Bajos en Sodio,15,4,0,0
6u1PV1gwGG283i71JhVo,Coles de Bruselas en Escabeche,20,4,1,0
6v5njhixkf8Ecfi4R99w,Tzatziki y Verduras,20,3,1,0
yBEQK32vDpNCQ3XqjFtT,"Fresas con Glaseado de Balsámico, Pimienta Negra y Estragón",20,5,0,0
6sXjVjYRPelAVVFWGMze,Tomates Cherry Rellenos de Guacamole,25,2,1,2
LqDD6KTrLwB5DGec1ss8,Brochetas Caprese,25,1,1,2
fj0MvhIgNmkxm5mybAzo,Salsa para Mojar para Mini Pasteles de Cangrejo al Horno,25,6,0,0
uI6nWIxaOXqwRGN99QUb,Granizado de Sandía y Lima,25,7,1,0
vMv2vPWsyRL5T2rXOsQh,Salsa de Frijoles Negros y Durazno,25,4,1,0
6DdFsZXKJdXX27h2WGY2,Champiñones Portobello y Cebollas con Glaseado de Balsámico,30,5,1,0
TMG7iIh3KxFPYUp7WcvM,Salsa de Frutas del Bosque,30,5,0,1
YSwvJDW556SZNZhnZPb1,Salsa de Arándanos,35,7,0,1
nhECSHHJ8LNOAzmL5Eiw,"Dip de Cebolla, Espinaca y Alcachofa",35,3,1,2
xXVOxr0nG6aLNLY7cCbR,Dip de Frijoles con Hierbas,35,7,2,0
B4p9zAZJXLkrSia9StM4,"Dip de Remolacha Asada, Tahini y Yogur Griego",40,2,1,3
K7oyBc9xBZdvo08R0uBj,Sorbete de Piña y Durazno,40,10,1,0
SivyHSj0Vtmd3xuDKAwS,Dip de Espinaca y Alcachofa,40,3,2,1
TcN5AQqRSVS44lsmXnrw,"Dip de Cebolla Dulce, Frijoles Blancos y Alcachofa",40,5,2,1
g34kIBlWU71hviFTTULn,Salsa de Mango y Tomate,40,8,1,1
gGchoEYFslKVm7NcBAhj,Bastones de Apio con Hummus y Pimiento Rojo,40,4,2,2
hzeH92PTHI5yTWhELqp1,Tartitas Mini de Calabaza,40,4,1,2
iCofkPTA8CmBz9uE1zeM,Hummus de Remolacha Asada al Curry,40,4,1,2
mA9iybtYIFx9HxLTCOMZ,Cestas de Batata con Huevos,40,6,4,0
vuOtyxF9kgNYIAXIDT6F,Lassi de Papaya,40,6,4,0
0Lj9LaaIfguaJ2u62OUD,Bocaditos de Coles de Bruselas Rellenas – Receta Foodie,45,2,3,3
3lMqbO8e8euKO7kEJw6D,Pimientos Rellenos,45,4,3,1
B44utUPbfzBUDS5NpDQn,Dip de Taco Saludable,45,4,3,2
EJy80yKx0Ktbkh4lbk8f,Guacamole de Pepino,45,4,1,3
bgFxfAiMnrp8WU7W7xJY,Huevos Rellenos,45,1,3,3
